Database,Prompt,precision,recall,f1,relaxed_precision,relaxed_recall,relaxed_f1,textual_precision,textual_recall,textual_f1
RunningExample-V15,06-processmining-knowledge,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
RunningExample-V15,07-RunningExample,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V15,01-baseline,0.0,0.0,0.0,0.769,0.769,0.769,0.769,0.769,0.769
RunningExample-V15,02-persona,0.0,0.0,0.0,0.769,0.769,0.769,0.769,0.769,0.769
RunningExample-V15,03-few-shot-example,0.769,0.769,0.769,0.769,0.769,0.769,1.0,1.0,1.0
RunningExample-V15,04-chain-of-thought,0.0,0.0,0.0,0.769,0.769,0.769,0.769,0.769,0.769
RunningExample-V15,05-tree-of-thought,0.0,0.0,0.0,0.462,0.462,0.462,0.692,0.692,0.692
RunningExample-V15,06-processmining-knowledge,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
RunningExample-V15,07-RunningExample,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V63,01-baseline,0.0,0.0,0.0,0.769,0.5,0.606,0.769,0.476,0.588
RunningExample-V63,02-persona,0.0,0.0,0.0,0.769,0.5,0.606,0.769,0.476,0.588
RunningExample-V63,03-few-shot-example,0.462,0.667,0.545,0.462,0.667,0.545,0.692,0.692,0.692
RunningExample-V63,04-chain-of-thought,,,,,,,,,
RunningExample-V63,05-tree-of-thought,0.0,0.0,0.0,0.769,0.5,0.606,0.769,0.476,0.588
RunningExample-V63,06-processmining-knowledge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V63,07-RunningExample,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V63,01-baseline,0.0,0.0,0.0,1.0,0.65,0.788,1.0,0.619,0.765
RunningExample-V63,02-persona,0.0,0.0,0.0,0.769,0.5,0.606,0.769,0.476,0.588
RunningExample-V63,03-few-shot-example,0.462,0.353,0.4,0.462,0.375,0.414,0.692,0.529,0.6
RunningExample-V63,04-chain-of-thought,,,,,,,,,
RunningExample-V63,05-tree-of-thought,0.0,0.0,0.0,0.769,0.5,0.606,0.769,0.476,0.588
RunningExample-V63,06-processmining-knowledge,0.308,0.4,0.348,0.308,0.4,0.348,0.538,0.538,0.538
RunningExample-V63,07-RunningExample,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RunningExample-V63,01-baseline,0.0,0.0,0.0,0.769,0.5,0.606,0.769,0.476,0.588
RunningExample-V63,02-persona,0.0,0.0,0.0,0.769,0.5,0.606,0.769,0.476,0.588
RunningExample-V63,03-few-shot-example,0.462,0.353,0.4,0.462,0.375,0.414,0.692,0.529,0.6
RunningExample-V63,04-chain-of-thought,0.769,0.476,0.588,0.769,0.588,0.667,1.0,0.619,0.765
RunningExample-V63,05-tree-of-thought,0.0,0.0,0.0,0.769,0.5,0.606,0.769,0.476,0.588
RunningExample-V63,06-processmining-knowledge,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.231,0.231
RunningExample-V63,07-RunningExample,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
