database,metric_file,precision,recall,f1,relaxed_precision,relaxed_recall,relaxed_f1,textual_precision,textual_recall,textual_f1,raw_content
ERP-V511,001_prompt-04-chain-of-thought.txt_METRICS.txt,0.0,0.0,0,0.167,0.2,0.182,0.417,0.417,0.417,
ERP-V511,001_prompt-05-tree-of-thought.txt_METRICS.txt,0.0,0.0,0,0.167,0.2,0.182,0.417,0.417,0.417,
ERP-V511,001_prompt-06-processmining-knowledge.txt_METRICS.txt,,,,,,,,,,{}
ERP-V511,001_prompt-07-paperj.txt_METRICS.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
ERP-V511,002_prompt-01-baseline.txt_METRICS.txt,0.0,0.0,0,0.167,0.2,0.182,0.167,0.167,0.167,
ERP-V511,002_prompt-02-persona.txt_METRICS.txt,0.0,0.0,0,0.167,0.2,0.182,0.167,0.167,0.167,
ERP-V511,002_prompt-04-chain-of-thought.txt_METRICS.txt,0.0,0.0,0,0.167,0.2,0.182,0.417,0.417,0.417,
ERP-V511,002_prompt-05-tree-of-thought.txt_METRICS.txt,0.0,0.0,0,0.167,0.2,0.182,0.167,0.167,0.167,
ERP-V511,002_prompt-06-processmining-knowledge.txt_METRICS.txt,0.0,0.0,0,0.0,0.0,0,0.167,0.167,0.167,
ERP-V511,002_prompt-07-paperj.txt_METRICS.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
P2P-V03,001_prompt-01-baseline.txt_METRICS.txt,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,
P2P-V03,001_prompt-02-persona.txt_METRICS.txt,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,
P2P-V03,001_prompt-04-chain-of-thought.txt_METRICS.txt,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,
P2P-V03,001_prompt-05-tree-of-thought.txt_METRICS.txt,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,
P2P-V03,001_prompt-06-processmining-knowledge.txt_METRICS.txt,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0,0,
P2P-V03,001_prompt-07-RunningExample.txt_METRICS.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
P2P-V03,002_prompt-01-baseline.txt_METRICS.txt,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,
P2P-V03,002_prompt-02-persona.txt_METRICS.txt,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,
P2P-V03,002_prompt-04-chain-of-thought.txt_METRICS.txt,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,
P2P-V03,002_prompt-05-tree-of-thought.txt_METRICS.txt,0.0,0.0,0,1.0,1.0,1.0,1.0,1.0,1.0,
P2P-V03,002_prompt-06-processmining-knowledge.txt_METRICS.txt,0.0,0.0,0,1.0,1.0,1.0,0.0,0.0,0,
P2P-V03,002_prompt-07-RunningExample.txt_METRICS.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
P2P-V15,001_prompt-01-baseline.txt_METRICS.txt,0.0,0.0,0,0.462,0.462,0.462,0.462,0.462,0.462,
P2P-V15,001_prompt-02-persona.txt_METRICS.txt,0.0,0.0,0,0.462,0.462,0.462,0.692,0.692,0.692,
P2P-V15,001_prompt-04-chain-of-thought.txt_METRICS.txt,0.0,0.0,0,0.462,0.462,0.462,0.692,0.692,0.692,
P2P-V15,001_prompt-05-tree-of-thought.txt_METRICS.txt,0.0,0.0,0,0.462,0.462,0.462,0.692,0.692,0.692,
P2P-V15,001_prompt-06-processmining-knowledge.txt_METRICS.txt,,,,,,,,,,{}
P2P-V15,001_prompt-07-RunningExample.txt_METRICS.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
P2P-V15,002_prompt-01-baseline.txt_METRICS.txt,0.0,0.0,0,0.462,0.462,0.462,0.692,0.692,0.692,
P2P-V15,002_prompt-02-persona.txt_METRICS.txt,0.0,0.0,0,0.462,0.462,0.462,0.692,0.692,0.692,
P2P-V15,002_prompt-04-chain-of-thought.txt_METRICS.txt,0.0,0.0,0,0.462,0.462,0.462,0.462,0.462,0.462,
P2P-V15,002_prompt-05-tree-of-thought.txt_METRICS.txt,0.0,0.0,0,0.462,0.462,0.462,0.462,0.462,0.462,
P2P-V15,002_prompt-06-processmining-knowledge.txt_METRICS.txt,,,,,,,,,,{}
P2P-V15,002_prompt-07-RunningExample.txt_METRICS.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
P2P-V63,001_prompt-01-baseline.txt_METRICS.txt,0.692,1.0,0.818,0.692,1.0,0.818,0.692,0.692,0.692,
P2P-V63,001_prompt-02-persona.txt_METRICS.txt,0.0,0.0,0,0.769,0.5,0.606,0.154,0.095,0.118,
P2P-V63,001_prompt-04-chain-of-thought.txt_METRICS.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
P2P-V63,001_prompt-05-tree-of-thought.txt_METRICS.txt,0.0,0.0,0,0.769,0.5,0.606,1.0,0.619,0.765,
P2P-V63,001_prompt-06-processmining-knowledge.txt_METRICS.txt,,,,,,,,,,{}
P2P-V63,001_prompt-07-RunningExample.txt_METRICS.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
P2P-V63,002_prompt-01-baseline.txt_METRICS.txt,0.692,1.0,0.818,0.692,1.0,0.818,0.692,0.692,0.692,
P2P-V63,002_prompt-02-persona.txt_METRICS.txt,0.0,0.0,0,0.769,0.5,0.606,1.0,0.619,0.765,
P2P-V63,002_prompt-04-chain-of-thought.txt_METRICS.txt,0.0,0.0,0,0.769,0.5,0.606,0.769,0.476,0.588,
P2P-V63,002_prompt-05-tree-of-thought.txt_METRICS.txt,0.0,0.0,0,0.462,0.3,0.364,0.462,0.286,0.353,
P2P-V63,002_prompt-06-processmining-knowledge.txt_METRICS.txt,0.308,1.0,0.471,0.308,1.0,0.471,0.308,0.308,0.308,
P2P-V63,002_prompt-07-RunningExample.txt_METRICS.txt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
